                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1609,                 5.1158,                 4.1788,                0.00061,                  0.344,                0.00278,                0.00092,                 2.4279,                 3.8502,                 3.7884,             0.00022094,             0.00022094,             0.00022094
                      2,                 3.1448,                 5.1432,                 4.0834,                 0.0022,                0.63295,                0.00463,                0.00156,                 2.2827,                 3.8586,                 3.7207,             0.00043449,             0.00043449,             0.00043449
                      3,                 3.0449,                 4.9732,                 3.8656,                0.00234,                0.58899,                0.00338,                  0.001,                 2.4752,                 5.8354,                 3.5483,             0.00063924,             0.00063924,             0.00063924
                      4,                 2.9386,                 4.7862,                 3.6493,                0.30332,                 0.2357,                0.01414,                0.00512,                  2.329,                 5.8302,                 3.3299,             0.00062738,             0.00062738,             0.00062738
                      5,                 2.7152,                 4.7118,                 3.3992,                0.00161,                0.59084,                0.00704,                 0.0022,                 2.3029,                 4.7369,                  3.254,             0.00061417,             0.00061417,             0.00061417
                      6,                 2.6634,                 4.6561,                  3.305,                0.00177,                0.60029,                 0.0116,                0.00433,                 2.4365,                 4.5644,                 3.2193,             0.00060097,             0.00060097,             0.00060097
                      7,                 2.5265,                 4.4613,                  3.181,                0.00186,                0.77304,                0.03747,                0.01418,                 2.1441,                 5.0545,                 3.0146,             0.00058776,             0.00058776,             0.00058776
                      8,                 2.4533,                  4.396,                 3.0691,                0.00182,                0.63064,                0.00969,                0.00281,                 2.1738,                 4.2974,                 3.1001,             0.00057455,             0.00057455,             0.00057455
                      9,                 2.3501,                 4.2797,                 2.9786,                0.06896,                0.75037,                 0.0484,                0.01064,                 1.9355,                 4.0994,                 3.0096,             0.00056135,             0.00056135,             0.00056135
                     10,                 2.3049,                 4.1841,                 2.9576,                0.00218,                0.82423,                 0.0272,                0.01264,                 1.8893,                 5.3121,                 2.7304,             0.00054814,             0.00054814,             0.00054814
                     11,                  2.219,                 4.0822,                 2.8889,                0.11112,                0.10588,                0.01571,                0.00566,                 1.9065,                 6.3862,                 2.8353,             0.00053493,             0.00053493,             0.00053493
                     12,                 2.1536,                 4.3556,                 2.8284,                0.01799,                0.16418,                0.02791,                0.01402,                 1.8706,                 5.3195,                 2.7256,             0.00052173,             0.00052173,             0.00052173
