                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0293,                 3.8951,                 4.2056,                0.00438,                      1,                0.02252,                 0.0055,                 2.4062,                 3.1479,                 4.1596,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.3185,                 3.8155,                 4.1956,                0.00433,                      1,                0.00761,                0.00386,                  2.404,                  3.145,                 4.1587,             0.00015408,             0.00015408,             0.00015408
                      3,                 2.9812,                   3.81,                 4.1714,                 0.0044,                      1,                0.02828,                0.01034,                 2.4001,                 3.1393,                 4.1566,             0.00023331,             0.00023331,             0.00023331
                      4,                  3.244,                 3.8493,                 4.1712,                0.00445,                      1,                0.03079,                0.01207,                 2.3986,                 3.1232,                 4.1498,             0.00030915,             0.00030915,             0.00030915
                      5,                 3.1507,                 3.7811,                  4.142,                0.00447,                      1,                0.09243,                0.02423,                 2.3949,                 3.1087,                 4.1439,             0.00038159,             0.00038159,             0.00038159
                      6,                 3.0038,                 3.7781,                 4.1177,                0.00445,                      1,                0.01839,                 0.0086,                 2.3951,                 3.0922,                 4.1353,             0.00045064,             0.00045064,             0.00045064
                      7,                 2.9724,                 3.8317,                 4.1454,                0.00447,                      1,                0.01622,                0.00779,                 2.3906,                 3.0736,                  4.122,             0.00051629,             0.00051629,             0.00051629
                      8,                 3.0647,                 3.7802,                 4.0963,                0.00447,                      1,                0.01622,                0.00779,                 2.3906,                 3.0736,                  4.122,             0.00057854,             0.00057854,             0.00057854
                      9,                 3.0471,                  3.589,                 4.0635,                0.00447,                      1,                  0.021,                0.01271,                 2.3862,                  3.166,                 4.1046,              0.0006374,              0.0006374,              0.0006374
                     10,                 3.1019,                 3.6974,                 4.0942,                0.00428,                      1,                0.01944,                0.01047,                 2.3876,                 3.1593,                 4.0754,             0.00069287,             0.00069287,             0.00069287
